sentence,label,gpt3_label,chatGPT_labels
Low socioeconomic status increases depression risk in rheumatoid arthritis patients,3,3,3
A recent study confirmed that low socioeconomic status (SES) is associated with higher risk of depressive symptoms in patients with rheumatoid arthritis (RA).,1,3,3
"Statistically significant differences in race, public versus tertiary-care hospital, disability and medications were found between depressed and non-depressed patients.",1,3,0
New national study finds 11 500 emergency department visits related to snow shoveling each year,0,3,3
"Known by many as one of the least favorite wintertime chores, shoveling snow can also be hazardous and is associated with many serious, even fatal events among both adults and children.",1,0,0
"A recent study conducted by researchers at the Center for Injury Research and Policy of The Research Institute at Nationwide Children's Hospital found that an average of 11,500 snow shoveling-related injuries and medical emergencies were treated in U.S. emergency departments each year from 1990 to 2006.",0,3,0
Lack of sleep found to be a new risk factor for colon cancer,1,0,1
"An inadequate amount of sleep has been associated with higher risks of obesity, heart disease, diabetes, and death.",1,3,3
Now colon cancer can be added to the list.,0,0,0
Risk of blood clots in veins hereditary,1,0,0
Venous thromboembolism (VTE) is the third most common type of cardiovascular disease after coronary heart disease and stroke.,0,0,0
Researchers at the Centre for Primary Health Care Research in Malm&#246; have mapped the significance of hereditary factors for venous thromboembolism in the entire Swedish population by studying the risk of VTE in children of parents with VTE compared with the children of parents who have not had VTE.,3,3,3
Mayo Clinic researchers confirm value of therapeutic hypothermia after cardiac arrest,3,1,1
Mayo Clinic researchers confirmed that patients who receive therapeutic hypothermia after resuscitation from cardiac arrest have favorable chances of surviving the event and recovering good functional status.,1,1,1
"In therapeutic hypothermia, a patient's body temperature is cooled to 33 degrees Celsius following resuscitation from cardiac arrest, in order to slow the brain's metabolism and protect the brain against the damage initiated by the lack of blood flow and oxygenation.",0,0,0
University of Missouri study finds risk factors for cat cancer  could have human implications,0,3,0
"""We are looking for patterns of cancer development in animals, so we can find common risk factors,"" said Kim Selting, associate teaching professor of oncology at the MU College of Veterinary Medicine.",1,0,0
Improved radical surgery techniques provide positive outcomes for bladder cancer patients,3,1,1
"Bladder cancer patients who have radical surgery at university hospitals can benefit from excellent local control of the disease, acceptable clinical outcomes and low death rates, according to research in the August issue of the urology journal BJUI.",3,3,3
"Researchers studied 2,287 patients who had radical cystectomy surgery, where the bladder is removed, together with nearby tissue and organs as required.",0,0,0
Heart failure patients twice as likely to die if admitted to general wards,1,0,3
"Heart failure patients admitted to general wards are twice as likely to die as those admitted to cardiology wards, shows a national audit of the treatment of the condition, published online in the journal Heart.",1,3,3
"Women fared worse than men when it comes to appropriate investigations and treatment, the findings suggest, although death rates were similar.",1,3,3
Surgery complications linked to chemotherapy delay  U M study finds,1,3,3
"Patients who have complications after colorectal cancer surgery are less likely to get chemotherapy, even when it is clearly recommended for their diagnosis, a new study from the University of Michigan Comprehensive Cancer Center finds.",1,3,3
"In addition, patients with complications were more than twice as likely to have their chemotherapy delayed for more than 120 days after diagnosis or two months after surgery, which is considered the appropriate timeframe for receiving chemotherapy.",1,3,0
Hashimoto s thyroiditis can affect quality of life,3,0,0
Thyroid is the Official Journal of the American Thyroid Association (ATA).,0,0,0
Referral to high volume hospitals for operations fails to improve outcomes statewide,3,0,1
"Referring patients to hospitals that have the largest volume of surgical procedures does not necessarily lead to improved outcomes for the overall population, according to the results of a new study in the February issue of the Journal of the American College of Surgeons.",3,3,1
"The findings of studies that suggest the higher the volume of specialty surgical procedures performed at any given hospital, the better that hospital's outcomes will be, has resulted in calls for volume-based referrals.",0,3,1
Suicide risk greater for people living at higher elevations,1,0,3
"Twenty years of mortality data from counties across the United States led to the striking discovery that living at higher altitudes may be a risk factor for suicide, according to a provocative study published online ahead of print in High Altitude Medicine & Biology, a peer-reviewed journal published by Mary Ann Liebert, Inc.",1,3,3
The article is available free online.,0,0,0
New study alters long held beliefs about shingles,0,0,0
"For decades, medical wisdom about shingles has been that it's a once-in-a-lifetime experience.",0,0,0
"The commonly-held belief is that patients are protected from a recurrence of the herpes zoster virus, which causes shingles, after one episode.",0,0,0
Shingles vaccine associated with 55 percent reduced risk of disease,1,1,1
"Receiving the herpes zoster vaccine was associated with a 55 percent reduced risk of developing shingles, according to a Kaiser Permanente study of 300,000 people that appears in the current issue of the Journal of the American Medical Association.",1,3,3
"This retrospective study observed the outcomes of the effectiveness of the herpes zoster vaccine in a large, diverse population of men and women ages 60 years and older.",0,3,0
Vitamin D deficiency in pneumonia patients associated with increased mortality,1,3,1
A new study published in the journal Respirology reveals that adult patients admitted to the hospital with pneumonia are more likely to die if they have Vitamin D deficiency.,1,3,1
Vitamin D is known to be involved in the innate immune response to infection.,0,0,0
Eating more fruit and vegetables is linked to a lower risk of dying from ischemic heart disease,1,3,3
A European study investigating the links between diet and disease has found that people who consume more fruit and vegetables have a lower risk of dying from ischaemic heart disease - the most common form of heart disease and one of the leading causes of death in Europe.,1,3,3
"However, the authors point out that a higher fruit and vegetable intake occurs among people with other healthy eating habits and lifestyles, and that these factors could also be associated with the lower risk of dying from IHD.",1,3,3
Diabetes can be predicted 7 years before pregnancy with blood sugar and body weight,1,0,3
"A woman's risk of developing diabetes during pregnancy can be identified up to seven years before she becomes pregnant based on routinely assessed measures of blood sugar and body weight, according to a Kaiser Permanente study published in the online issue of the American Journal of Obstetrics and Gynecology.",1,3,3
"Researchers at the Kaiser Permanente Division of Research in Oakland, Calif., studied 580 ethnically diverse women who took part in a multiphasic health checkup at Kaiser Permanente Northern California between1984 and 1996.",0,0,0
New tool helps surgeons predict patients  risk of complications after bariatric operations,1,0,0
"A new risk calculator can predict the risk of postoperative complications occurring for individual bariatric surgery patients, according to a study published in the March issue of the Journal of the American College of Surgeons.",1,1,0
The risk calculator will help in surgical decision-making and will help patients better understand what they can expect during recovery in order to prepare for a bariatric operation.,3,0,0
Metabolic syndrome found in 52 percent of patients after liver transplantation,1,3,3
"Researchers from Israel have determined that more than half of liver transplant recipients develop post-transplantation metabolic syndrome (PTMS), placing them at greater risk for cardiovascular disease.",1,3,1
"Prior to transplantation only 5% of the patients were diagnosed with metabolic syndrome, but rates of obesity, hypertriglyceridemia, hypertension, and diabetes were significantly higher post transplantation.",1,3,3
Traffic noise increases the risk of having a stroke,3,0,1
"Exposure to noise from road traffic can increase the risk of stroke, particularly in those aged 65 years and over, according to a study published online today (Wednesday 26 January) in the European Heart Journal 1].",3,3,1
"The study, which is the first to investigate the links between road traffic noise and the risk of stroke, found that for every 10 decibels more noise the risk of having a stroke increased by 14% among the 51,485 study participants.",1,3,3
Patients infected with HIV have higher drop out rate for liver transplantation,1,0,3
